source,block_index,task,audio_file,prompt,orig_item_num,trial_type,item,answer,response_alternatives,assessment_stage,chance_level,item_id,notes,time_limit
Murray,1,TROG,practice1,none,listen-practice-1,practice, ,Correct,"Not Sure, Incorrect",practice_response,0.33,practice-listen-1,The grammar of this sentence is good.,
Murray,1,TROG,practice2,none,listen-practice-2,practice, ,Incorrect,"Not Sure, Correct",practice_response,0.33,practice-listen-2,The grammar of this sentence are bad.,
Murray,1,TROG,progintro7u,none,listen-1,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-prog-intro-7-u,"After the rain stopped, the kids swimming in the small pond.",NA
Murray,1,TROG,passpast7,none,listen-2,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-pass-past-7,The play was performed by actors on the main stage.,NA
Murray,1,TROG,distsimp3,none,listen-3,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-distsimp3,My cousin will carve a figure from a block of wood.,NA
Murray,1,TROG,passpast6,none,listen-4,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-pass-past-6,The car was driven too fast by a careless teenager.,NA
Murray,1,TROG,passfut3u,none,listen-5,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-pass-fut-3-u,The cars will repaired by skilled workers in the afternoon.,NA
Murray,1,TROG,progsimp2,none,listen-6,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-simp-2,The children were finding shells on the beach all afternoon.,NA
Murray,1,TROG,distsimp2u,none,listen-7,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-distsimp2u,She will lifts the basket full of fresh apples.,NA
Murray,1,TROG,progsimp3,none,listen-8,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-simp-3,The elders were telling the story near the glowing fire.,NA
Murray,1,TROG,progmid5u,none,listen-9,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-prog-mid-5-u,He sang out loud while they are clapping to the steady beat.,NA
Murray,1,TROG,distsub3,none,listen-10,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-distsub3,They shut the gate after the dog ran into the yard.,NA
Murray,1,TROG,progintro1,none,listen-11,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-intro-1,"When the actors finished, the audience was cheering loudly.",NA
Murray,1,TROG,progintro2,none,listen-12,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-intro-2,"After the sun rose, the builders were finishing the house.",NA
Murray,1,TROG,progintro3,none,listen-13,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-intro-3,"When the package arrived, she was speaking to her friend.",NA
Murray,1,TROG,passfut5,none,listen-14,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-pass-fut-5,The gifts will be given to the children tomorrow.,NA
Murray,1,TROG,progsimp8u,none,listen-15,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-prog-simp-8-u,The children reading their books beneath the shady trees.,NA
Murray,1,TROG,progintro4,none,listen-16,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-intro-4,"After the professor explained, the students were taking careful notes.",NA
Murray,1,TROG,passpast1u,none,listen-17,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-pass-past-1-u,The rules were follow by everyone in the classroom.,NA
Murray,1,TROG,progintro5u,none,listen-18,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-prog-intro-5-u,"After the storm passed, the workers are beginning the bridge nearby.",NA
Murray,1,TROG,progmid3,none,listen-19,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-mid-3,The kids played inside while she was sewing patches on the coat.,NA
Murray,1,TROG,passfut8,none,listen-20,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-pass-fut-8,The clothes will be washed by machines with extra soap and water.,NA
Murray,1,TROG,distsimp1,none,listen-21,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-distsimp1,I catch small birds near the wooden fence.,NA
Murray,1,TROG,passfut7,none,listen-22,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-pass-fut-7,The news will be reported by hosts on the evening show.,NA
Murray,1,TROG,progsimp4,none,listen-23,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-simp-4,The neighbors were walking their dogs along the quiet path.,NA
Murray,1,TROG,passpres3u,none,listen-24,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-pass-pres-3-u,The windows are clean by workers every afternoon.,NA
Murray,1,TROG,progmid4,none,listen-25,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-prog-mid-4,The cat hid under the couch while we were waiting for the storm.,NA
Murray,1,TROG,distsub4,none,listen-26,stimulus, ,Correct,"Not Sure, Incorrect",test_response,0.33,l-distsub4,She tied the ropes that held the small boat at the dock.,NA
Murray,1,TROG,passpres1u,none,listen-27,stimulus, ,Incorrect,"Not Sure, Correct",test_response,0.33,l-pass-pres-1-u,The songs are sing by students during the morning break.,NA
